id,name,aliases,family,summary,commercial_scenarios,defense_scenarios,source_revision,tags
fly_over_that,Fly Over That,GoTo,move,Proceed directly to a designated waypoint,basic autonomous vehicle navigation,basic autonomous vehicle navigation,2019-10-26,waypoint|navigation|single_vehicle
loiter_hold_over_there,Loiter or Hold Over There,,hold,Perform a loiter pattern over a designated location,basic autonomous vehicle holding,basic autonomous vehicle holding,2019-10-26,loiter|hold|orbit
follow_him,Follow Him,,coordinate,Maintain a defined offset from a lead vehicle,multi_vehicle transit grouping,multi_vehicle transit grouping,2019-10-26,formation|offset|lead_follow
hold_current,Hold Current,,hold,Maintain current speed heading and altitude indefinitely,pause mode for autonomous vehicles,pause mode for autonomous vehicles,2019-10-26,pause|stabilize|state_hold
hold_commanded,Hold Commanded,,hold,Maintain a commanded speed heading and altitude indefinitely,navigation when no specific destination is defined,navigation when no specific destination is defined,2019-10-26,commanded_state|hold|cruise
light_it_up,Light It Up,,observe,Reposition automatically to improve sensor geometry on a detected signal,isr workload reduction,isr workload reduction,2019-10-26,sensor_cueing|reposition|geometry
rtb,RTB,Return to Base,recover,Return using a defined three dimensional profile to a recovery location,vehicle recovery and mission closure,vehicle recovery and mission closure,2019-10-26,return|recovery|base
deliver,Deliver,,deliver,Compute a delivery path and perform precision delivery or release,drone package and cargo delivery,autonomous cargo delivery and resupply,2019-10-26,payload|delivery|precision_landing
perch,Perch or Perch-Stare,Perch-Stare,observe,Move to a perch location and observe from that position,pop_up monitoring and temporary surveillance,discrete tactical observation from a ledge or corner,2019-10-26,perch|stare|observation
lasso,Lasso,,coordinate,Instantly group multiple entities into a formation and handle alignment,multi_uas grouping after disasters,group and regroup airborne assets,2019-10-26,formation|swarm|grouping
funnel,Funnel,,coordinate,Sequence many vehicles into a single constrained destination flow,urban air mobility terminal deconfliction,forward operating location deconfliction,2019-10-26,sequencing|terminal_area|deconfliction
stage,Stage,,coordinate,Hold vehicles in a safe staging area until commanded onward,orderly pre_arrival staging,orderly staging before final approach,2019-10-26,staging|queue|deconfliction
sentinel,Sentinel,,protect,Launch and provide perimeter defense or monitoring when a trip wire is triggered,wildfire hotspot confirmation and perimeter watch,airfield or high_value_asset perimeter defense,2019-10-26,trip_wire|launch_on_trigger|perimeter
envelop,Envelop,,observe,Distribute available assets around a point of interest for all around observation,multi_angle temporary surveillance,simultaneous multi_axis surveillance of a point of interest,2019-10-26,surround|poi|multi_angle
rejoin,Rejoin,,recover,Compute an optimal path to rejoin a moving ground or air target,rejoin to a moving delivery van,recover or resupply to a moving asset,2019-10-26,rejoin|moving_target|recovery
point_at_that,Point At That,,move,Fly directly at an airborne point of interest using pure pursuit,no active civil use case,counter_uas and deterrent operations,2019-10-26,pure_pursuit|intercept|air_to_air
stare_at_that,Stare At That,,observe,Fly a path that keeps sensors aligned on a point of interest,persistent law_enforcement or environmental surveillance,persistent surveillance targeting and detect_avoid padlocking,2019-10-26,sensor_alignment|poi|persistent_view
marsupial,Marsupial,,deliver,Carry another vehicle and release or recover it as a force multiplier,ground_air search and rescue teaming,drivable docking and airborne host release patterns,2019-10-26,carrier|deploy_subasset|recover_subasset
follow_me_tether,Follow Me / Tether,Tether,coordinate,Follow a designated point of interest at a specified offset,first_responder overwatch,jtac or convoy overwatch,2019-10-26,follow_me|overwatch|offset
greased_pig_dither,Greased Pig / Dither,Dither,protect,Take evasive action when a vehicle becomes aware of an incoming threat,no active civil use case,counter_counter_uas maneuver,2019-10-26,evasion|threat_response|self_protection
learner_sharer,Learner / Sharer,Sharer,track,Let scout vehicles map or learn then share those findings with the group,scout mapping after disasters,airborne collaborative reconnaissance,2019-10-26,knowledge_share|scout|cop
surveil,Surveil,,area_cover,Divide a geographic area into surveillance patterns based on vehicles and sensors,mountain search and rescue coverage,airborne isr and combat search and rescue,2019-10-26,area_partition|surveillance|coverage
path_plan_5ds,Path Plan / 5Ds,5Ds,pathfind,Continuously compute an optimal three dimensional path around obstacles,real_time package delivery and urban air mobility routing,real_time path planning for manned and unmanned aircraft,2019-10-26,obstacle_avoidance|replan|3d_path
comm_relay,Comm Relay,,relay,Place a vehicle to maintain line of sight communications,long_duration monitoring where terrain or range matter,communications extension in permissive airspace,2019-10-26,relay|line_of_sight|connectivity
track,Track,,track,Use onboard or external capability to maintain a moving target track,moving point_of_interest surveillance,target tracking for surveillance or strike support,2019-10-26,target_track|persistence|identification
strike,Strike,,strike,Orchestrate a kinetic strike such as a loitering munition,no active civil use case,loitering munition employment,2019-10-26,kinetic|attack|munition
target_grid_center_fov,Target Grid / Center FOV,Center FOV,track,Generate target grid coordinates using camera center field of view and terrain data,no active civil use case,target grid generation for actionable targeting,2019-10-26,targeting_data|grid|fov
oca,OCA,Offensive Counter Air,strike,Perform the offensive counter air role,no active civil use case,autonomous offensive counter air operations,2019-10-26,offense|air_to_air|counter_air
dca,DCA,Defensive Counter Air,protect,Perform the defensive counter air role,no active civil use case,autonomous defensive counter air operations,2019-10-26,defense|air_to_air|counter_air
decoy,Decoy,,deceive,Maneuver to distract observers or be mistaken for another platform,no active civil use case,force multiplier during offensive and defensive air operations,2019-10-26,deception|misidentification|signature
defend,Defend,,protect,Defend a protected entity or queen,no active civil use case,airfield convoy or transport defense,2019-10-26,escort|asset_protection|defense
sacrifice,Sacrifice,,strike,Use pure pursuit to intentionally impact a designated target,no active civil use case,counter_uas and protective sacrificial intercept,2019-10-26,ramming|pure_pursuit|terminal_effect
